using cuda
3260.9858476888858 better than None, saving model
#############################################
# epoch  -          0 | time(s) -    145.89 #
# T loss -    4023.93 | V loss -    3260.99 #
3176.789849389532 better than None, saving model
#############################################
# epoch  -          1 | time(s) -    151.15 #
# T loss -    3596.55 | V loss -    3176.79 #
4012.509916835264 better than None, saving model
#############################################
# epoch  -          2 | time(s) -    150.74 #
# T loss -    4373.15 | V loss -    4012.51 #
13960.93206022769 better than None, saving model
#############################################
# epoch  -          3 | time(s) -    147.43 #
# T loss -   11307.05 | V loss -   13960.93 #
13960.93206022769 better than None, saving model
#############################################
# epoch  -          4 | time(s) -    149.65 #
# T loss -   13034.99 | V loss -   13960.93 #
13960.93206022769 better than None, saving model
#############################################
# epoch  -          5 | time(s) -    147.76 #
# T loss -   13034.99 | V loss -   13960.93 #
4014.1219243481455 better than None, saving model
#############################################
# epoch  -          6 | time(s) -    149.01 #
# T loss -   11682.81 | V loss -    4014.12 #
4015.222181417554 better than None, saving model
#############################################
# epoch  -          7 | time(s) -    146.82 #
# T loss -    4945.33 | V loss -    4015.22 #
4015.7712010598298 better than None, saving model
#############################################
# epoch  -          8 | time(s) -    148.67 #
# T loss -    4945.82 | V loss -    4015.77 #
3136.111408548849 better than None, saving model
#############################################
# epoch  -          9 | time(s) -    148.81 #
# T loss -    4180.74 | V loss -    3136.11 #
3215.087383874059 better than None, saving model
#############################################
# epoch  -         10 | time(s) -    150.39 #
# T loss -    3532.38 | V loss -    3215.09 #
3161.7773498467914 better than None, saving model
#############################################
# epoch  -         11 | time(s) -    152.16 #
# T loss -    3589.94 | V loss -    3161.78 #
4009.1635602838624 better than None, saving model
#############################################
# epoch  -         12 | time(s) -    149.27 #
# T loss -    4111.47 | V loss -    4009.16 #
4009.1635564962294 better than None, saving model
#############################################
# epoch  -         13 | time(s) -    151.36 #
# T loss -    4940.49 | V loss -    4009.16 #
3209.206985434407 better than None, saving model
#############################################
# epoch  -         14 | time(s) -    148.66 #
# T loss -    4781.78 | V loss -    3209.21 #
#############################################
