8156.46644928357 better than None, saving model
#############################################
# epoch  -          0 | time(s) -   1000.65 #
# T loss -    4392.48 | V loss -    8156.47 #
3106.1776290366683 better than 8156.46644928357, saving model
#############################################
# epoch  -          1 | time(s) -    992.60 #
# T loss -    4399.13 | V loss -    3106.18 #
2441.9920520151854 better than 3106.1776290366683, saving model
#############################################
# epoch  -          2 | time(s) -    999.49 #
# T loss -    2142.69 | V loss -    2441.99 #
1955.2937883188192 better than 2441.9920520151854, saving model
#############################################
# epoch  -          3 | time(s) -   1000.70 #
# T loss -    1892.35 | V loss -    1955.29 #
1837.2631778939053 better than 1955.2937883188192, saving model
#############################################
# epoch  -          4 | time(s) -    994.12 #
# T loss -    1822.63 | V loss -    1837.26 #
1817.6677938572013 better than 1837.2631778939053, saving model
#############################################
# epoch  -          5 | time(s) -    996.48 #
# T loss -    1780.66 | V loss -    1817.67 #
#############################################
# epoch  -          6 | time(s) -    991.66 #
# T loss -    1747.05 | V loss -    1851.54 #
#############################################
# epoch  -          7 | time(s) -   1003.58 #
# T loss -    1734.27 | V loss -    1950.90 #
#############################################
# epoch  -          8 | time(s) -   1002.37 #
# T loss -    1717.17 | V loss -    1932.96 #
#############################################
# epoch  -          9 | time(s) -   1001.00 #
# T loss -    1722.23 | V loss -    1842.94 #
1741.520425725324 better than 1817.6677938572013, saving model
#############################################
# epoch  -         10 | time(s) -    996.15 #
# T loss -    1693.54 | V loss -    1741.52 #
#############################################
# epoch  -         11 | time(s) -   1001.71 #
# T loss -    1676.14 | V loss -    2063.24 #
#############################################
# epoch  -         12 | time(s) -    994.17 #
# T loss -    1665.75 | V loss -    2105.63 #
#############################################
# epoch  -         13 | time(s) -    994.04 #
# T loss -    1650.57 | V loss -    1784.97 #
#############################################
# epoch  -         14 | time(s) -    997.74 #
# T loss -    1656.26 | V loss -    2347.03 #
#############################################
# epoch  -         15 | time(s) -    996.30 #
# T loss -    1643.12 | V loss -    1954.57 #
1699.9450239216349 better than 1741.520425725324, saving model
#############################################
# epoch  -         16 | time(s) -    997.54 #
# T loss -    1628.98 | V loss -    1699.95 #
#############################################
# epoch  -         17 | time(s) -    991.39 #
# T loss -    1624.05 | V loss -    1731.89 #
#############################################
# epoch  -         18 | time(s) -   1005.94 #
# T loss -    1625.22 | V loss -    3847.32 #
#############################################
# epoch  -         19 | time(s) -    994.64 #
# T loss -    1614.56 | V loss -    1708.31 #
#############################################
# epoch  -         20 | time(s) -   1003.01 #
# T loss -    1610.92 | V loss -    1890.04 #
#############################################
# epoch  -         21 | time(s) -    999.93 #
# T loss -    1603.03 | V loss -    1853.22 #
#############################################
# epoch  -         22 | time(s) -   1002.33 #
# T loss -    1600.30 | V loss -    1724.60 #
#############################################
# epoch  -         23 | time(s) -   1000.79 #
# T loss -    1585.08 | V loss -    1735.40 #
1662.1555158759109 better than 1699.9450239216349, saving model
#############################################
# epoch  -         24 | time(s) -    999.00 #
# T loss -    1600.09 | V loss -    1662.16 #
#############################################
# epoch  -         25 | time(s) -   1007.48 #
# T loss -    1578.13 | V loss -    2021.98 #
#############################################
# epoch  -         26 | time(s) -    999.91 #
# T loss -    1608.36 | V loss -    1717.00 #
#############################################
# epoch  -         27 | time(s) -   1003.12 #
